expo,table,project,sponsors,link,category,special
1,60,smlr,"Best Education Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best ML/AI hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114805-smlr,,
1,61,eBae,"[eBay] Best Hack Using eBay APIs, [Uber] Best Hack that Acts on the Physical World, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com",https://hacktech2019.devpost.com/submissions/114817-ebae,,
1,66,Auxilium,"[Uber] Best Hack that Acts on the Physical World, Best Hardware Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best Mobile Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114820-auxilium,,
1,13,eatsafe,"Best Education Hack, Best Potato Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114824-eatsafe,,
1,10,Decomposition,"[eBay] Best Hack Using eBay APIs, Best Hardware Hack, Best Education Hack, Best Potato Hack, Most Aesthetic/Well-Designed Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, Best Game/Entertainment Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114879-decomposition,,
1,85,Safe City,"Most Aesthetic/Well-Designed Hack, Best Social Good Hack, Best Mobile Hack",https://hacktech2019.devpost.com/submissions/114885-safe-city,,
1,83,Acropolis ,Best Education Hack,https://hacktech2019.devpost.com/submissions/114886-acropolis,,
1,55,Impulse,"Best Education Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114887-impulse,,
1,56,Visionary,"[Uber] Best Hack that Acts on the Physical World, Best Education Hack, Best Potato Hack, Best Social Good Hack, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114888-visionary,,
1,4,Traveling-Wikipedia-Problem,,https://hacktech2019.devpost.com/submissions/114889-traveling-wikipedia-problem,,
1,65,WeaverBeaver,"Best Education Hack, Most Aesthetic/Well-Designed Hack, Best Social Good Hack, [Domain.com/MLH] Best Domain Registered with Domain.com, Best ML/AI hack, Best Game/Entertainment Hack, [Google Cloud Platform/MLH] Best use of Google Cloud Platform",https://hacktech2019.devpost.com/submissions/114890-weaverbeaver,,
1,30,Sign Learning,"Best Hardware Hack, Best ML/AI hack",https://hacktech2019.devpost.com/submissions/114894-sign-learning,,
